player_id,match_id,minutes_played,rpe,synthetic_workload_stress
P005,M012,64,6.63,0.0
P005,M013,68,5.88,0.0
P005,M014,73,6.01,0.0
P005,M015,86,6.01,0.0
P005,M016,73,5.41,0.0
P005,M017,67,6.53,0.0
P005,M018,77,6.21,0.0
P005,M019,78,6.1,0.0
P005,M020,60,4.69,0.0
P005,M021,71,5.34,0.0
P005,M022,53,5.43,0.0
P005,M023,66,5.81,0.0
P005,M024,56,5.86,0.0
P005,M025,90,5.89,0.0
P005,M026,69,5.77,0.0
P005,M027,89,5.49,0.0
P005,M028,53,5.45,0.0
P005,M029,78,6.34,0.0
P005,M030,66,4.92,0.0
P006,M001,75,6.94,0.0
P006,M002,71,5.73,0.0
P006,M003,69,5.28,0.0
P006,M004,62,5.59,0.0
P006,M005,61,5.39,0.0
P006,M006,73,5.74,0.0
P006,M007,69,5.22,0.0
P006,M008,73,6.62,0.0
P006,M009,88,5.78,0.0
P006,M010,79,5.87,0.0
P006,M011,72,6.0,0.0
P006,M012,62,5.6,0.0
P006,M013,58,5.74,0.0
P006,M014,69,6.27,0.0
P006,M015,55,6.38,0.0
P006,M016,51,5.88,0.0
P006,M017,75,6.63,0.0
P006,M018,71,6.51,0.0
P006,M019,56,6.0,0.0
P006,M020,63,5.59,0.0
P006,M021,67,6.27,0.5
P006,M022,65,6.56,1.0
P006,M023,72,7.55,1.5
P006,M024,58,7.14,2.0
P006,M025,70,6.14,0.0
P006,M026,61,6.56,0.0
P006,M027,62,5.79,0.0
P006,M028,58,6.17,0.0
P006,M029,65,6.32,0.0
P006,M030,59,7.46,0.0
P007,M001,72,5.87,0.0
P007,M002,62,5.32,0.0
P007,M003,63,6.45,0.0
P007,M004,60,4.98,0.0
P007,M005,61,5.43,0.0
P007,M006,67,6.62,0.0
P007,M007,59,6.0,0.0
P007,M008,64,6.21,0.0
P007,M009,83,5.42,0.0
P007,M010,59,5.71,0.0
P007,M011,49,5.76,0.0
P007,M012,85,5.59,0.0
P007,M013,62,5.47,0.0
P007,M014,60,5.84,0.0
P007,M015,81,5.65,0.0
P007,M016,72,6.41,0.0
P007,M017,67,6.67,0.0
P007,M018,79,6.23,0.0
P007,M019,59,5.49,0.0
P007,M020,65,6.54,0.0
P007,M021,58,6.0,0.0
P007,M022,58,6.24,0.0
P007,M023,72,6.52,0.0
P007,M024,69,5.72,0.0
P007,M025,67,5.54,0.0
P007,M026,81,5.8,0.0
P007,M027,77,7.07,0.0
P007,M028,56,6.02,0.0
P007,M029,70,5.84,0.0
P007,M030,69,5.46,0.0
P008,M001,76,6.15,0.0
P008,M002,64,5.15,0.0
P008,M003,59,6.75,0.0
P008,M004,68,5.89,0.0
P008,M005,58,5.71,0.0
P008,M006,63,6.13,0.0
P008,M007,66,5.59,0.0
P008,M008,77,6.19,0.0
P008,M009,69,6.26,0.0
P008,M010,54,6.49,0.0
P008,M011,62,5.41,0.0
P008,M012,63,5.7,0.0
P008,M013,81,6.72,0.0
P008,M014,56,6.74,0.0
P008,M015,72,6.19,0.0
P008,M016,62,5.18,0.0
P008,M017,71,6.52,0.5
P008,M018,62,7.48,1.0
P008,M019,77,7.08,1.5
P008,M020,72,7.61,2.0
P008,M021,87,5.94,0.0
P008,M022,60,6.35,0.0
P008,M023,80,7.09,0.0
P008,M024,73,6.3,0.0
P008,M025,69,5.68,0.0
P008,M026,71,5.37,0.0
P008,M027,73,6.08,0.0
P008,M028,82,6.25,0.0
P008,M029,73,6.95,0.0
P008,M030,74,5.94,0.0
P009,M001,78,5.86,0.0
P009,M002,61,5.37,0.0
P009,M003,67,5.82,0.0
P009,M004,52,6.01,0.0
P009,M005,66,5.28,0.0
P009,M006,60,5.67,0.0
P009,M007,63,6.7,0.0
P009,M008,71,6.32,0.0
P009,M009,67,6.7,0.0
P009,M010,81,6.04,0.0
P009,M011,84,6.74,0.0
P009,M012,64,5.58,0.0
P009,M013,68,6.76,0.5
P009,M014,65,6.28,1.0
P009,M015,71,7.4,1.5
P009,M016,75,8.37,2.0
P009,M017,69,6.81,0.0
P009,M018,68,4.91,0.0
P009,M019,77,6.4,0.0
P009,M020,64,6.39,0.0
P009,M021,72,5.73,0.0
P009,M022,78,5.48,0.0
P009,M023,60,5.69,0.0
P009,M024,78,6.5,0.0
P009,M025,80,5.85,0.0
P009,M026,54,6.21,0.0
P009,M027,70,5.8,0.0
P009,M028,70,5.59,0.0
P009,M029,64,6.44,0.0
P009,M030,47,6.01,0.0
P010,M001,75,7.14,0.0
P010,M002,79,6.34,0.0
P010,M003,74,6.63,0.0
P010,M004,73,7.05,0.0
P010,M005,73,6.29,0.0
P010,M006,68,5.78,0.0
P010,M007,72,6.07,0.0
P010,M008,63,6.31,0.0
P010,M009,72,5.83,0.0
P010,M010,75,6.35,0.0
P010,M011,74,5.63,0.0
P010,M012,65,6.49,0.0
P010,M013,71,5.96,0.0
P010,M014,75,6.19,0.0
P010,M015,70,6.22,0.0
P010,M016,69,6.34,0.0
P010,M017,77,6.51,0.0
P010,M018,82,4.98,0.0
P010,M019,59,5.52,0.0
P010,M020,70,5.73,0.0
P010,M021,75,5.72,0.0
P010,M022,73,6.07,0.5
P010,M023,62,6.92,1.0
P010,M024,79,6.19,1.5
P010,M025,80,6.83,2.0
P010,M026,79,5.61,0.0
P010,M027,82,6.94,0.0
P010,M028,70,5.31,0.0
P010,M029,73,5.74,0.0
P010,M030,64,5.92,0.0
P011,M001,72,5.72,0.0
P011,M002,63,5.27,0.0
P011,M003,63,6.51,0.0
P011,M004,67,6.09,0.0
P011,M005,62,5.18,0.0
P011,M006,60,7.25,0.0
P011,M007,82,5.5,0.0
P011,M008,81,4.94,0.0
P011,M009,69,4.98,0.0
P011,M010,57,5.17,0.0
P011,M011,80,5.34,0.0
P011,M012,57,5.71,0.0
P011,M013,65,6.28,0.0
P011,M014,55,6.03,0.0
P011,M015,69,5.94,0.0
P011,M016,63,5.81,0.0
P011,M017,69,5.22,0.0
P011,M018,76,6.02,0.0
P011,M019,74,4.83,0.0
P011,M020,71,6.3,0.0
P011,M021,53,5.5,0.0
P011,M022,61,7.38,0.0
P011,M023,68,5.54,0.0
P011,M024,70,5.03,0.0
P011,M025,77,5.86,0.0
P011,M026,63,5.82,0.0
P011,M027,78,5.86,0.0
P011,M028,81,6.09,0.0
P011,M029,68,6.89,0.0
P011,M030,67,5.58,0.0
P012,M001,58,5.37,0.0
P012,M002,68,5.57,0.0
P012,M003,72,5.8,0.0
P012,M004,61,6.27,0.0
P012,M005,58,5.62,0.0
P012,M006,76,5.58,0.0
P012,M007,69,6.07,0.0
P012,M008,72,5.18,0.0
P012,M009,64,5.45,0.0
P012,M010,65,5.68,0.0
P012,M011,73,6.53,0.0
P012,M012,88,5.79,0.0
P012,M013,74,5.91,0.0
P012,M014,52,7.26,0.0
P012,M015,64,6.72,0.0
P012,M016,78,6.43,0.0
P012,M017,75,5.87,0.0
P012,M018,78,6.23,0.5
P012,M019,84,5.45,1.0
P012,M020,66,6.62,1.5
P012,M021,82,6.86,2.0
P012,M022,75,5.8,0.0
P012,M023,63,5.97,0.0
P012,M024,71,5.76,0.0
P012,M025,73,6.73,0.0
P012,M026,64,5.51,0.0
P012,M027,79,5.68,0.0
P012,M028,75,7.47,0.0
P012,M029,48,7.35,0.0
P012,M030,65,5.87,0.0
P013,M001,75,5.33,0.0
P013,M002,74,6.23,0.0
P013,M003,62,5.75,0.0
P013,M004,68,7.25,0.0
P013,M005,70,5.16,0.0
P013,M006,67,6.11,0.0
P013,M007,72,6.54,0.0
P013,M008,72,5.56,0.0
P013,M009,75,5.82,0.0
P013,M010,59,5.49,0.0
P013,M011,54,6.05,0.0
P013,M012,65,6.13,0.0
P013,M013,54,6.5,0.0
P013,M014,63,5.92,0.0
P013,M015,65,5.99,0.0
P013,M016,63,6.07,0.0
P013,M017,77,6.12,0.0
P013,M018,62,6.79,0.0
P013,M019,66,5.16,0.0
P013,M020,64,6.05,0.0
P013,M021,76,5.65,0.0
P013,M022,72,6.77,0.0
P013,M023,73,6.25,0.0
P013,M024,51,5.92,0.0
P013,M025,69,6.24,0.0
P013,M026,72,5.25,0.0
P013,M027,57,5.79,0.0
P013,M028,57,6.33,0.0
P013,M029,67,5.83,0.0
P013,M030,77,6.21,0.0
P014,M001,60,6.57,0.0
P014,M002,44,6.73,0.0
P014,M003,70,6.02,0.0
P014,M004,69,5.56,0.0
P014,M005,79,5.37,0.0
P014,M006,83,5.87,0.0
P014,M007,78,5.33,0.0
P014,M008,57,5.45,0.0
P014,M009,73,6.15,0.0
P014,M010,81,5.49,0.0
P014,M011,77,5.66,0.0
P014,M012,71,4.87,0.0
P014,M013,71,6.12,0.0
P014,M014,62,5.38,0.0
P014,M015,61,6.55,0.0
P014,M016,72,6.05,0.0
P014,M017,63,6.67,0.0
P014,M018,63,6.41,0.0
P014,M019,75,5.77,0.0
P014,M020,82,5.71,0.0
P014,M021,67,6.44,0.0
P014,M022,48,6.42,0.0
P014,M023,61,5.68,0.0
P014,M024,75,6.21,0.0
P014,M025,81,6.44,0.0
P014,M026,56,5.6,0.0
P014,M027,80,7.1,0.0
P014,M028,63,4.27,0.0
P014,M029,79,5.64,0.0
P014,M030,65,6.98,0.0
P015,M001,77,6.07,0.0
P015,M002,76,6.57,0.0
P015,M003,80,5.33,0.0
P015,M004,64,5.69,0.0
P015,M005,66,5.78,0.0
P015,M006,88,5.6,0.0
P015,M007,73,5.4,0.0
P015,M008,58,6.26,0.0
P015,M009,72,6.29,0.0
P015,M010,75,6.21,0.0
P015,M011,73,6.13,0.0
P015,M012,69,6.29,0.0
P015,M013,69,5.91,0.0
P015,M014,60,5.49,0.0
P015,M015,71,5.47,0.0
P015,M016,61,5.29,0.0
P015,M017,77,6.4,0.0
P015,M018,62,5.76,0.0
P015,M019,72,5.94,0.0
P015,M020,86,5.93,0.0
P015,M021,77,6.05,0.0
P015,M022,64,5.57,0.0
P015,M023,60,6.3,0.0
P015,M024,59,6.49,0.0
P015,M025,80,5.47,0.0
P015,M026,67,6.13,0.0
P015,M027,74,5.81,0.0
P015,M028,64,6.16,0.0
P015,M029,68,5.74,0.0
P015,M030,70,5.38,0.0
P016,M001,70,6.23,0.0
P016,M002,67,6.23,0.0
P016,M003,67,7.55,0.0
P016,M004,65,6.01,0.0
P016,M005,57,6.52,0.0
P016,M006,88,6.11,0.0
P016,M007,59,5.95,0.0
P016,M008,69,6.03,0.0
P016,M009,71,5.54,0.0
P016,M010,61,5.81,0.0
P016,M011,67,6.43,0.0
P016,M012,72,5.93,0.0
P016,M013,92,4.38,0.0
P016,M014,90,5.76,0.0
P016,M015,85,5.98,0.0
P016,M016,76,7.22,0.0
P016,M017,70,4.97,0.0
P016,M018,72,6.06,0.0
P016,M019,67,6.42,0.0
P016,M020,75,5.7,0.0
P016,M021,63,6.42,0.0
P016,M022,76,6.33,0.0
P016,M023,64,5.22,0.0
P016,M024,61,5.56,0.0
P016,M025,67,5.34,0.0
P016,M026,69,6.21,0.0
P016,M027,52,5.86,0.0
P016,M028,77,7.12,0.0
P016,M029,59,6.1,0.0
P016,M030,62,6.08,0.0
P017,M001,57,5.83,0.0
P017,M002,70,5.85,0.0
P017,M003,54,5.24,0.0
P017,M004,75,5.39,0.0
P017,M005,69,6.2,0.0
P017,M006,65,5.25,0.0
P017,M007,61,5.84,0.0
P017,M008,75,5.23,0.0
P017,M009,72,6.32,0.0
P017,M010,72,4.75,0.0
P017,M011,74,5.82,0.0
P017,M012,73,5.8,0.0
P017,M013,78,6.35,0.0
P017,M014,61,4.4,0.0
P017,M015,65,5.86,0.0
P017,M016,73,5.61,0.0
P017,M017,70,5.2,0.0
P017,M018,74,5.59,0.0
P017,M019,67,5.71,0.0
P017,M020,54,7.11,0.0
P017,M021,72,5.75,0.0
P017,M022,63,5.82,0.0
P017,M023,60,6.59,0.0
P017,M024,74,6.17,0.0
P017,M025,62,5.69,0.0
P017,M026,71,5.52,0.0
P017,M027,68,5.44,0.0
P017,M028,55,5.11,0.0
P017,M029,51,7.24,0.0
P017,M030,71,6.09,0.0
P018,M001,61,6.2,0.0
P018,M002,72,6.53,0.0
P018,M003,53,6.53,0.0
P018,M004,74,5.21,0.0
P018,M005,71,5.22,0.0
P018,M006,59,6.16,0.0
P018,M007,69,5.49,0.0
P018,M008,52,5.59,0.0
P018,M009,81,6.29,0.0
P018,M010,73,5.73,0.0
P018,M011,73,6.1,0.0
P018,M012,68,6.57,0.0
P018,M013,66,6.14,0.0
P018,M014,66,4.88,0.0
P018,M015,70,5.25,0.0
P018,M016,65,6.04,0.5
P018,M017,56,7.13,1.0
P018,M018,79,7.39,1.5
P018,M019,93,7.34,2.0
P018,M020,67,6.07,0.0
P018,M021,78,6.21,0.0
P018,M022,50,6.75,0.0
P018,M023,56,5.83,0.0
P018,M024,79,5.58,0.0
P018,M025,64,5.94,0.0
P018,M026,54,5.54,0.0
P018,M027,66,6.13,0.0
P018,M028,65,5.51,0.0
P018,M029,63,5.92,0.0
P018,M030,61,6.16,0.0
P019,M001,60,5.6,0.0
P019,M002,69,7.05,0.0
P019,M003,66,7.35,0.0
P019,M004,79,6.99,0.0
P019,M005,64,5.78,0.0
P019,M006,78,7.26,0.0
P019,M007,59,6.46,0.0
P019,M008,81,6.24,0.0
P019,M009,62,6.32,0.0
P019,M010,66,5.74,0.0
P019,M011,61,4.93,0.0
P019,M012,64,5.25,0.0
P019,M013,77,6.68,0.0
P019,M014,71,5.4,0.0
P019,M015,66,5.4,0.0
P019,M016,78,6.55,0.0
P019,M017,87,6.05,0.0
P019,M018,55,5.85,0.0
P019,M019,56,5.62,0.0
P019,M020,68,5.84,0.0
P019,M021,67,5.54,0.0
P019,M022,68,6.49,0.0
P019,M023,51,6.37,0.0
P019,M024,66,6.34,0.0
P019,M025,62,6.08,0.0
P019,M026,66,6.37,0.0
P019,M027,61,5.77,0.0
P019,M028,59,6.38,0.0
P019,M029,75,6.08,0.0
P019,M030,55,5.77,0.0
P020,M001,59,7.0,0.0
P020,M002,75,6.57,0.0
P020,M003,59,6.34,0.0
P020,M004,62,5.66,0.0
P020,M005,74,6.61,0.0
P020,M006,59,5.34,0.0
P020,M007,75,5.71,0.0
P020,M008,84,5.51,0.0
P020,M009,58,6.47,0.0
P020,M010,78,5.78,0.0
P020,M011,66,5.71,0.0
P020,M012,71,6.71,0.0
P020,M013,61,6.08,0.0
P020,M014,71,5.66,0.0
P020,M015,65,5.63,0.0
P020,M016,64,6.0,0.0
P020,M017,67,5.18,0.0
P020,M018,70,6.42,0.0
P020,M019,66,6.17,0.0
P020,M020,83,6.83,0.5
P020,M021,65,6.32,1.0
P020,M022,66,6.72,1.5
P020,M023,80,7.74,2.0
P020,M024,74,6.28,0.0
P020,M025,62,6.41,0.0
P020,M026,62,6.0,0.0
P020,M027,57,6.79,0.0
P020,M028,67,6.27,0.0
P020,M029,69,5.48,0.0
P020,M030,75,6.29,0.0
