player_id,match_id,minutes_played,rpe,session_load,stress_level,reaction_time_ms,sleep_duration,sleep_quality,recovery_score
P002,M008,72,6.37,458.64,0.0,204.54,7.33,81.93,78.57
P002,M009,58,6.33,367.14,0.0,208.61,7.5,82.94,75.74
P002,M010,62,5.23,324.26,0.0,199.17,7.55,80.41,71.73
P002,M011,68,5.27,358.36,0.0,205.82,7.52,78.93,75.62
P002,M012,82,6.76,554.32,0.0,204.66,7.68,87.98,75.57
P002,M013,77,5.67,436.59,0.0,207.97,7.67,82.13,77.09
P002,M014,63,6.82,429.66,0.0,206.12,7.22,82.38,75.68
P002,M015,84,6.02,505.68,0.0,204.56,7.31,80.32,76.56
P002,M016,77,5.83,448.91,0.0,208.12,7.47,80.42,74.66
P002,M017,66,6.65,438.9,0.0,207.58,7.45,84.11,72.86
P002,M018,58,5.17,299.86,0.0,202.59,7.25,75.85,77.25
P002,M019,63,6.22,391.86,0.35,223.33,6.87,65.59,69.25
P002,M020,66,6.26,413.16,0.6,232.46,6.54,54.89,65.04
P002,M021,59,6.8,401.2,0.85,235.72,6.17,47.07,54.83
P002,M022,84,7.96,668.64,1.0,243.93,5.7,40.67,49.55
P002,M023,78,6.72,524.16,0.0,209.07,7.59,85.83,77.06
P002,M024,63,5.62,354.06,0.0,206.67,7.54,80.6,73.02
P002,M025,49,6.73,329.77,0.0,210.26,7.32,82.25,74.22
P002,M026,59,7.03,414.77,0.0,206.62,7.41,85.46,76.49
P002,M027,58,5.87,340.46,0.0,205.3,7.65,83.32,76.01
P002,M028,75,5.06,379.5,0.0,205.29,7.48,77.66,73.2
P002,M029,70,6.73,471.1,0.0,213.02,7.37,82.39,76.63
P002,M030,75,6.23,467.25,0.0,203.17,7.35,81.78,77.88
P003,M001,58,6.79,393.82,0.0,200.86,8.61,91.62,69.1
P003,M002,82,6.03,494.46,0.0,207.03,9.01,87.03,71.69
P003,M003,61,6.04,368.44,0.0,204.2,8.85,87.58,66.22
P003,M004,70,5.43,380.1,0.0,202.34,8.79,85.16,65.11
P003,M005,60,5.68,340.8,0.0,196.62,8.73,87.4,71.02
P003,M006,66,5.8,382.8,0.0,194.9,8.81,88.26,68.44
P003,M007,81,5.85,473.85,0.0,206.17,8.65,86.41,72.21
P003,M008,78,6.85,534.3,0.0,207.95,8.98,90.56,70.44
P003,M009,78,5.4,421.2,0.0,193.4,8.49,86.75,69.28
P003,M010,80,6.8,544.0,0.0,199.33,9.07,92.04,68.64
P003,M011,67,6.74,451.58,0.0,201.17,8.55,91.35,68.06
P003,M012,68,6.09,414.12,0.0,196.92,8.63,89.23,70.85
P003,M013,68,6.27,426.36,0.0,202.78,8.64,88.88,69.71
P003,M014,54,5.4,291.6,0.0,199.5,8.93,85.57,69.58
P003,M015,62,5.78,358.36,0.0,197.36,8.51,87.72,68.25
P003,M016,64,6.54,418.56,0.0,206.68,8.78,89.35,70.2
P003,M017,65,4.58,297.7,0.0,195.92,8.83,82.55,70.21
P003,M018,67,5.86,392.62,0.0,198.12,8.61,87.9,67.04
P003,M019,72,5.93,426.96,0.0,205.41,8.83,86.81,69.52
P003,M020,67,5.42,363.14,0.0,194.68,8.85,86.6,68.68
P003,M021,48,6.18,296.64,0.0,203.63,8.89,88.31,69.6
P003,M022,72,6.45,464.4,0.0,196.71,8.88,90.9,68.2
P003,M023,57,7.4,421.8,0.0,206.53,8.9,93.29,68.35
P003,M024,71,6.73,477.83,0.0,203.14,8.86,90.88,68.38
P003,M025,54,6.62,357.48,0.0,200.45,8.71,90.92,67.86
P003,M026,66,5.82,384.12,0.0,203.66,8.85,86.66,69.85
P003,M027,73,6.3,459.9,0.0,201.68,8.51,89.21,67.58
P003,M028,74,4.82,356.68,0.0,198.2,8.97,83.2,69.85
P003,M029,57,5.37,306.09,0.0,201.49,9.1,85.05,69.3
P003,M030,84,5.48,460.32,0.0,204.26,8.65,85.16,70.78
P004,M001,53,5.06,268.18,0.0,199.73,8.59,83.4,85.65
P004,M002,67,7.04,471.68,0.0,198.07,8.79,92.71,90.09
P004,M003,66,6.44,425.04,0.0,199.17,8.64,89.77,88.1
P004,M004,66,5.33,351.78,0.0,195.3,8.64,85.47,91.89
P004,M005,53,5.28,279.84,0.0,200.38,8.74,84.26,90.67
P004,M006,51,6.0,306.0,0.0,201.46,8.31,87.31,91.04
P004,M007,78,5.36,418.08,0.0,194.14,8.69,85.86,91.86
P004,M008,73,5.76,420.48,0.0,194.19,8.5,87.66,92.43
P004,M009,64,6.16,394.24,0.0,203.46,8.51,87.66,92.25
P004,M010,72,6.7,482.4,0.0,196.38,8.7,91.49,90.06
P004,M011,54,6.58,355.32,0.0,201.88,8.48,89.88,90.69
P004,M012,80,6.56,524.8,0.0,197.06,8.66,90.78,86.28
P004,M013,40,6.58,263.2,0.0,199.75,8.56,90.29,89.95
P004,M014,80,6.54,523.2,0.0,201.49,8.45,89.86,92.26
P004,M015,71,7.01,497.71,0.35,216.14,7.87,81.01,81.63
P004,M016,74,6.14,454.36,0.6,213.69,7.49,67.97,74.35
P004,M017,61,7.3,445.3,0.85,225.24,6.71,56.47,71.15
P004,M018,84,7.4,621.6,1.0,235.62,6.59,48.88,61.39
P004,M019,75,5.72,429.0,0.0,196.29,8.58,87.05,92.62
P004,M020,67,6.44,431.48,0.0,197.06,8.62,90.18,91.48
P004,M021,69,7.19,496.11,0.0,199.63,8.53,93.08,89.58
P004,M022,81,6.77,548.37,0.0,197.67,8.69,91.67,91.95
P004,M023,87,5.79,503.73,0.0,200.24,8.54,86.86,89.52
P004,M024,58,5.71,331.18,0.0,191.85,8.46,87.87,90.08
P004,M025,50,6.12,306.0,0.0,195.93,8.57,88.97,90.16
P004,M026,87,7.02,610.74,0.0,200.3,8.42,92.55,87.86
P004,M027,63,5.02,316.26,0.0,195.64,8.3,84.01,92.7
P004,M028,74,5.98,442.52,0.0,198.2,8.47,87.87,90.14
P004,M029,61,5.37,327.57,0.0,199.38,8.69,84.85,89.4
P004,M030,71,5.83,413.93,0.0,195.32,8.33,87.73,92.45
P005,M001,60,6.02,361.2,0.0,199.93,7.02,76.12,91.16
P005,M002,68,5.36,364.48,0.0,191.71,7.0,74.51,94.95
P005,M003,95,6.02,571.9,0.0,201.08,6.6,70.87,93.97
P005,M004,69,5.61,387.09,0.0,200.72,6.65,69.64,93.5
P005,M005,72,5.64,406.08,0.0,200.17,6.74,70.99,93.04
P005,M006,51,5.93,302.43,0.0,198.08,6.81,73.56,93.09
P005,M007,71,5.26,373.46,0.0,202.12,6.86,70.33,93.53
P005,M008,62,5.98,370.76,0.0,198.84,6.79,73.36,94.24
P005,M009,58,4.98,288.84,0.0,197.06,6.7,68.11,93.61
P005,M010,70,6.4,448.0,0.0,198.39,6.87,76.4,90.9
P005,M011,72,6.8,489.6,0.0,200.06,7.04,79.89,95.0
P005,M012,64,6.63,424.32,0.0,193.54,6.57,74.76,91.48
P005,M013,68,5.88,399.84,0.0,197.56,6.85,73.92,88.7
P005,M014,73,6.01,438.73,0.0,197.82,6.54,70.79,92.0
P005,M015,86,6.01,516.86,0.0,196.67,6.74,73.62,94.57
P005,M016,73,5.41,394.93,0.0,195.83,6.78,71.26,89.73
P005,M017,67,6.53,437.51,0.0,197.68,6.82,76.56,93.77
P005,M018,77,6.21,478.17,0.0,203.81,6.82,73.87,90.67
P005,M019,78,6.1,475.8,0.0,198.08,6.85,74.85,92.55
P005,M020,60,4.69,281.4,0.0,199.07,6.8,67.64,89.88
P005,M021,71,5.34,379.14,0.0,206.08,6.98,71.35,94.64
P005,M022,53,5.43,287.79,0.0,194.02,6.53,68.71,89.92
P005,M023,66,5.81,383.46,0.0,196.34,6.79,73.1,91.78
P005,M024,56,5.86,328.16,0.0,201.89,6.84,72.82,89.6
P005,M025,90,5.89,530.1,0.0,197.95,6.76,73.18,92.28
P005,M026,69,5.77,398.13,0.0,189.74,6.73,73.47,94.95
P005,M027,89,5.49,488.61,0.0,199.97,6.7,70.21,90.92
P005,M028,53,5.45,288.85,0.0,196.29,6.79,71.53,91.81
P005,M029,78,6.34,494.52,0.0,199.97,6.69,73.67,95.0
P005,M030,66,4.92,324.72,0.0,196.05,6.59,66.82,94.72
P006,M001,75,6.94,520.5,0.0,194.19,8.24,92.64,70.51
P006,M002,71,5.73,406.83,0.0,190.86,8.02,87.78,69.18
P006,M003,69,5.28,364.32,0.0,194.05,8.14,85.09,68.45
P006,M004,62,5.59,346.58,0.0,194.28,8.3,86.48,72.07
P006,M005,61,5.39,328.79,0.0,194.49,8.4,85.51,69.07
P006,M006,73,5.74,419.02,0.0,193.25,8.25,87.36,70.99
P006,M007,69,5.22,360.18,0.0,195.15,8.71,84.61,68.78
P006,M008,73,6.62,483.26,0.0,197.98,8.22,90.42,66.87
P006,M009,88,5.78,508.64,0.0,198.08,8.2,86.91,69.17
P006,M010,79,5.87,463.73,0.0,190.64,8.35,88.47,71.23
P006,M011,72,6.0,432.0,0.0,204.18,8.52,86.42,74.77
P006,M012,62,5.6,347.2,0.0,191.49,8.42,87.05,69.61
P006,M013,58,5.74,332.92,0.0,194.98,8.23,87.03,71.65
P006,M014,69,6.27,432.63,0.0,196.87,8.56,89.06,71.35
P006,M015,55,6.38,350.9,0.0,197.73,8.04,89.41,70.16
P006,M016,51,5.88,299.88,0.0,197.8,8.15,87.1,73.27
P006,M017,75,6.63,497.25,0.0,201.98,8.17,89.71,68.7
P006,M018,71,6.51,462.21,0.0,199.27,8.36,89.69,72.83
P006,M019,56,6.0,336.0,0.0,195.38,7.98,87.88,71.57
P006,M020,63,5.59,352.17,0.0,194.88,8.01,86.35,71.11
P006,M021,67,6.27,420.09,0.35,209.56,7.52,74.37,61.95
P006,M022,65,6.56,426.4,0.6,220.03,7.18,64.29,55.44
P006,M023,72,7.55,543.6,0.85,221.86,6.67,57.36,48.63
P006,M024,58,7.14,414.12,1.0,230.71,6.59,48.95,43.28
P006,M025,70,6.14,429.8,0.0,188.84,8.14,90.04,69.13
P006,M026,61,6.56,400.16,0.0,201.01,8.04,89.57,68.72
P006,M027,62,5.79,358.98,0.0,197.17,8.46,86.83,70.81
P006,M028,58,6.17,357.86,0.0,200.75,8.21,87.86,72.98
P006,M029,65,6.32,410.8,0.0,198.88,8.48,88.88,71.63
P006,M030,59,7.46,440.14,0.0,202.78,8.52,93.33,69.07
P007,M001,72,5.87,422.64,0.0,187.35,8.2,87.73,68.49
P007,M002,62,5.32,329.84,0.0,187.82,7.87,83.6,68.58
P007,M003,63,6.45,406.35,0.0,187.04,8.37,90.43,65.52
P007,M004,60,4.98,298.8,0.0,188.82,8.25,83.38,68.57
P007,M005,61,5.43,331.23,0.0,187.35,7.87,84.15,67.05
P007,M006,67,6.62,443.54,0.0,192.15,8.17,90.19,70.37
P007,M007,59,6.0,354.0,0.0,194.0,8.05,87.03,68.92
P007,M008,64,6.21,397.44,0.0,190.01,7.88,87.25,66.39
P007,M009,83,5.42,449.86,0.0,182.75,7.93,85.88,66.16
P007,M010,59,5.71,336.89,0.0,186.46,7.77,84.37,69.14
P007,M011,49,5.76,282.24,0.0,194.41,7.84,83.91,67.09
P007,M012,85,5.59,475.15,0.0,187.99,7.93,85.69,66.2
P007,M013,62,5.47,339.14,0.0,194.8,7.97,84.14,69.91
P007,M014,60,5.84,350.4,0.0,188.71,8.04,87.31,69.87
P007,M015,81,5.65,457.65,0.0,186.6,8.07,86.9,66.32
P007,M016,72,6.41,461.52,0.0,186.38,7.82,88.15,71.32
P007,M017,67,6.67,446.89,0.0,186.89,7.91,90.33,68.03
P007,M018,79,6.23,492.17,0.0,190.43,7.97,88.41,66.64
P007,M019,59,5.49,323.91,0.0,187.77,8.05,85.94,71.51
P007,M020,65,6.54,425.1,0.0,180.47,8.0,92.1,70.96
P007,M021,58,6.0,348.0,0.0,191.41,7.76,84.64,65.38
P007,M022,58,6.24,361.92,0.0,189.77,7.93,88.06,66.75
P007,M023,72,6.52,469.44,0.0,183.06,8.25,91.54,66.42
P007,M024,69,5.72,394.68,0.0,187.37,8.14,87.03,68.5
P007,M025,67,5.54,371.18,0.0,184.58,8.02,86.76,65.2
P007,M026,81,5.8,469.8,0.0,189.79,8.03,86.97,67.77
P007,M027,77,7.07,544.39,0.0,188.3,7.89,91.79,70.86
P007,M028,56,6.02,337.12,0.0,195.2,7.7,83.25,68.07
P007,M029,70,5.84,408.8,0.0,189.77,8.06,87.14,64.6
P007,M030,69,5.46,376.74,0.0,184.73,7.9,85.13,68.47
P008,M001,76,6.15,467.4,0.0,254.31,7.21,79.38,69.23
P008,M002,64,5.15,329.6,0.0,248.36,7.4,78.29,73.15
P008,M003,59,6.75,398.25,0.0,254.4,7.22,82.23,70.97
P008,M004,68,5.89,400.52,0.0,256.5,6.86,73.51,70.14
P008,M005,58,5.71,331.18,0.0,255.44,7.21,77.14,73.27
P008,M006,63,6.13,386.19,0.0,256.25,7.38,80.93,71.19
P008,M007,66,5.59,368.94,0.0,258.54,7.34,77.49,72.17
P008,M008,77,6.19,476.63,0.0,252.46,7.25,80.38,67.9
P008,M009,69,6.26,431.94,0.0,245.93,7.3,82.51,73.35
P008,M010,54,6.49,350.46,0.0,257.15,7.1,78.97,68.19
P008,M011,62,5.41,335.42,0.0,257.99,7.15,74.55,69.17
P008,M012,63,5.7,359.1,0.0,252.3,7.24,77.98,70.79
P008,M013,81,6.72,544.32,0.0,262.06,7.2,80.46,71.95
P008,M014,56,6.74,377.44,0.0,260.15,7.12,79.87,70.06
P008,M015,72,6.19,445.68,0.0,253.18,7.09,78.33,69.82
P008,M016,62,5.18,321.16,0.0,256.12,6.98,71.85,72.18
P008,M017,71,6.52,462.92,0.35,264.74,6.43,63.09,64.15
P008,M018,62,7.48,463.76,0.6,279.37,6.41,59.2,58.64
P008,M019,77,7.08,545.16,0.85,287.17,5.81,43.56,51.08
P008,M020,72,7.61,547.92,1.0,294.24,5.67,39.25,44.28
P008,M021,87,5.94,516.78,0.0,247.76,7.24,80.28,72.34
P008,M022,60,6.35,381.0,0.0,252.54,7.07,78.94,71.22
P008,M023,80,7.09,567.2,0.0,257.43,7.16,82.52,67.36
P008,M024,73,6.3,459.9,0.0,257.72,7.0,76.8,71.48
P008,M025,69,5.68,391.92,0.0,249.88,7.3,79.1,72.89
P008,M026,71,5.37,381.27,0.0,251.79,7.13,75.34,72.6
P008,M027,73,6.08,443.84,0.0,262.17,7.12,76.44,71.14
P008,M028,82,6.25,512.5,0.0,255.71,7.4,81.84,70.94
P008,M029,73,6.95,507.35,0.0,259.67,7.36,83.75,72.84
P008,M030,74,5.94,439.56,0.0,253.51,7.13,77.63,71.68
P009,M001,78,5.86,457.08,0.0,184.87,8.03,87.58,77.75
P009,M002,61,5.37,327.57,0.0,180.16,7.52,80.53,75.71
P009,M003,67,5.82,389.94,0.0,190.42,7.55,80.92,74.58
P009,M004,52,6.01,312.52,0.0,185.89,7.53,82.47,76.42
P009,M005,66,5.28,348.48,0.0,184.58,7.73,81.69,72.8
P009,M006,60,5.67,340.2,0.0,184.6,7.68,82.95,77.85
P009,M007,63,6.7,422.1,0.0,188.75,7.64,86.36,73.71
P009,M008,71,6.32,448.72,0.0,190.46,7.78,85.88,76.6
P009,M009,67,6.7,448.9,0.0,180.41,7.78,89.66,73.91
P009,M010,81,6.04,489.24,0.0,186.44,7.55,82.71,75.31
P009,M011,84,6.74,566.16,0.0,185.07,7.68,88.03,73.77
P009,M012,64,5.58,357.12,0.0,189.97,7.8,82.94,75.91
P009,M013,68,6.76,459.68,0.35,198.46,7.08,71.49,67.63
P009,M014,65,6.28,408.2,0.6,204.3,6.69,58.28,58.88
P009,M015,71,7.4,525.4,0.85,213.21,6.18,50.64,55.07
P009,M016,75,8.37,627.75,1.0,228.78,5.91,44.53,53.89
P009,M017,69,6.81,469.89,0.0,184.91,7.49,85.78,74.07
P009,M018,68,4.91,333.88,0.0,183.87,7.64,79.15,73.65
P009,M019,77,6.4,492.8,0.0,185.51,7.78,87.28,72.85
P009,M020,64,6.39,408.96,0.0,185.16,7.53,84.3,73.42
P009,M021,72,5.73,412.56,0.0,186.72,7.71,83.14,74.8
P009,M022,78,5.48,427.44,0.0,186.63,7.19,75.76,75.16
P009,M023,60,5.69,341.4,0.0,188.24,7.71,82.62,76.2
P009,M024,78,6.5,507.0,0.0,185.03,7.71,86.95,74.81
P009,M025,80,5.85,468.0,0.0,188.52,7.68,83.0,73.47
P009,M026,54,6.21,335.34,0.0,189.61,7.91,87.16,71.93
P009,M027,70,5.8,406.0,0.0,180.95,7.79,85.53,73.28
P009,M028,70,5.59,391.3,0.0,184.69,7.63,82.01,72.93
P009,M029,64,6.44,412.16,0.0,182.39,7.54,85.15,75.05
P009,M030,47,6.01,282.47,0.0,190.05,7.56,82.0,75.62
P010,M001,75,7.14,535.5,0.0,236.61,6.75,78.44,63.46
P010,M002,79,6.34,500.86,0.0,242.39,6.9,75.47,62.44
P010,M003,74,6.63,490.62,0.0,235.61,6.64,75.06,64.51
P010,M004,73,7.05,514.65,0.0,238.59,6.59,75.76,67.72
P010,M005,73,6.29,459.17,0.0,240.91,6.8,74.33,66.33
P010,M006,68,5.78,393.04,0.0,246.67,6.76,70.39,62.15
P010,M007,72,6.07,437.04,0.0,236.23,6.96,76.25,60.72
P010,M008,63,6.31,397.53,0.0,237.66,6.63,72.98,64.2
P010,M009,72,5.83,419.76,0.0,231.66,6.62,71.93,63.76
P010,M010,75,6.35,476.25,0.0,235.16,6.65,73.98,61.77
P010,M011,74,5.63,416.62,0.0,236.53,6.61,69.89,64.6
P010,M012,65,6.49,421.85,0.0,238.49,6.72,74.81,64.21
P010,M013,71,5.96,423.16,0.0,238.87,7.03,75.98,65.16
P010,M014,75,6.19,464.25,0.0,238.09,6.8,74.41,62.14
P010,M015,70,6.22,435.4,0.0,240.28,6.62,72.01,61.65
P010,M016,69,6.34,437.46,0.0,241.85,6.55,71.36,59.61
P010,M017,77,6.51,501.27,0.0,238.0,6.66,74.24,63.26
P010,M018,82,4.98,408.36,0.0,234.92,6.66,67.98,63.26
P010,M019,59,5.52,325.68,0.0,231.75,6.75,72.01,62.61
P010,M020,70,5.73,401.1,0.0,240.81,6.87,72.65,62.46
P010,M021,75,5.72,429.0,0.0,236.91,6.67,70.96,62.63
P010,M022,73,6.07,443.11,0.35,248.06,6.1,57.07,58.87
P010,M023,62,6.92,429.04,0.6,259.0,5.97,52.12,49.24
P010,M024,79,6.19,489.01,0.85,274.42,5.36,35.0,42.84
P010,M025,80,6.83,546.4,1.0,273.63,5.0,35.0,41.0
P010,M026,79,5.61,443.19,0.0,237.54,6.69,70.58,64.35
P010,M027,82,6.94,569.08,0.0,236.83,6.69,76.97,61.18
P010,M028,70,5.31,371.7,0.0,239.86,6.47,66.18,64.8
P010,M029,73,5.74,419.02,0.0,236.02,6.64,70.85,62.1
P010,M030,64,5.92,378.88,0.0,231.93,6.46,70.3,61.9
P011,M001,72,5.72,411.84,0.0,218.08,7.99,86.96,68.32
P011,M002,63,5.27,332.01,0.0,218.57,7.67,81.05,72.09
P011,M003,63,6.51,410.13,0.0,214.17,7.78,88.77,73.5
P011,M004,67,6.09,408.03,0.0,225.63,7.74,84.18,70.6
P011,M005,62,5.18,321.16,0.0,217.96,7.62,80.08,68.48
P011,M006,60,7.25,435.0,0.0,228.06,7.82,90.01,69.51
P011,M007,82,5.5,451.0,0.0,216.57,7.64,82.17,70.01
P011,M008,81,4.94,400.14,0.0,219.63,7.76,80.5,66.53
P011,M009,69,4.98,343.62,0.0,220.19,7.97,82.98,72.0
P011,M010,57,5.17,294.69,0.0,213.78,7.69,81.75,70.56
P011,M011,80,5.34,427.2,0.0,212.97,7.85,84.62,70.19
P011,M012,57,5.71,325.47,0.0,214.96,7.94,86.9,69.96
P011,M013,65,6.28,408.2,0.0,221.71,7.94,88.25,71.76
P011,M014,55,6.03,331.65,0.0,225.79,7.64,82.73,69.45
P011,M015,69,5.94,409.86,0.0,224.59,7.9,85.63,68.23
P011,M016,63,5.81,366.03,0.0,217.83,7.79,85.02,69.1
P011,M017,69,5.22,360.18,0.0,215.63,7.85,83.48,69.79
P011,M018,76,6.02,457.52,0.0,215.35,7.63,84.54,66.58
P011,M019,74,4.83,357.42,0.0,219.64,7.89,81.46,67.17
P011,M020,71,6.3,447.3,0.0,215.95,7.84,88.29,69.48
P011,M021,53,5.5,291.5,0.0,217.48,7.83,84.14,65.77
P011,M022,61,7.38,450.18,0.0,216.66,7.69,91.2,67.41
P011,M023,68,5.54,376.72,0.0,219.64,7.81,83.76,68.7
P011,M024,70,5.03,352.1,0.0,219.87,7.87,82.08,68.24
P011,M025,77,5.86,451.22,0.0,219.94,7.75,84.41,67.85
P011,M026,63,5.82,366.66,0.0,215.1,7.79,85.64,71.24
P011,M027,78,5.86,457.08,0.0,217.77,7.81,85.52,66.18
P011,M028,81,6.09,493.29,0.0,221.34,7.86,86.5,68.72
P011,M029,68,6.89,468.52,0.0,217.79,7.86,90.81,70.09
P011,M030,67,5.58,373.86,0.0,217.82,7.9,85.29,69.44
P012,M001,58,5.37,311.46,0.0,198.31,7.83,83.22,77.02
P012,M002,68,5.57,378.76,0.0,197.58,7.87,84.82,75.35
P012,M003,72,5.8,417.6,0.0,197.45,8.12,87.37,76.19
P012,M004,61,6.27,382.47,0.0,196.97,8.13,89.61,74.55
P012,M005,58,5.62,325.96,0.0,200.69,8.11,85.95,72.21
P012,M006,76,5.58,424.08,0.0,205.56,8.49,84.81,73.11
P012,M007,69,6.07,418.83,0.0,200.91,8.19,87.94,74.05
P012,M008,72,5.18,372.96,0.0,198.1,7.71,80.97,75.28
P012,M009,64,5.45,348.8,0.0,198.88,7.85,83.69,76.94
P012,M010,65,5.68,369.2,0.0,199.01,8.19,86.54,76.56
P012,M011,73,6.53,476.69,0.0,198.34,7.91,89.46,73.73
P012,M012,88,5.79,509.52,0.0,201.46,7.95,86.24,75.11
P012,M013,74,5.91,437.34,0.0,197.28,8.03,87.94,74.67
P012,M014,52,7.26,377.52,0.0,197.59,8.14,93.99,76.02
P012,M015,64,6.72,430.08,0.0,205.59,7.9,88.72,72.9
P012,M016,78,6.43,501.54,0.0,193.82,8.06,90.98,74.84
P012,M017,75,5.87,440.25,0.0,200.65,8.21,87.08,75.25
P012,M018,78,6.23,485.94,0.35,210.78,7.36,72.78,68.2
P012,M019,84,5.45,457.8,0.6,216.33,7.11,59.93,59.15
P012,M020,66,6.62,436.92,0.85,225.94,6.72,53.55,57.32
P012,M021,82,6.86,562.52,1.0,238.54,6.33,43.29,51.19
P012,M022,75,5.8,435.0,0.0,201.76,8.09,86.56,72.82
P012,M023,63,5.97,376.11,0.0,200.14,7.98,87.37,74.72
P012,M024,71,5.76,408.96,0.0,195.35,7.95,86.96,74.86
P012,M025,73,6.73,491.29,0.0,199.75,8.23,91.16,73.57
P012,M026,64,5.51,352.64,0.0,198.44,7.97,85.55,74.83
P012,M027,79,5.68,448.72,0.0,201.89,7.87,84.4,74.72
P012,M028,75,7.47,560.25,0.0,202.85,7.94,93.23,74.77
P012,M029,48,7.35,352.8,0.0,197.6,7.93,93.52,76.54
P012,M030,65,5.87,381.55,0.0,193.69,7.98,88.17,75.13
P013,M001,75,5.33,399.75,0.0,253.27,7.75,82.69,77.55
P013,M002,74,6.23,461.02,0.0,259.72,7.77,85.75,77.13
P013,M003,62,5.75,356.5,0.0,255.33,7.35,79.43,72.98
P013,M004,68,7.25,493.0,0.0,254.24,7.28,85.57,75.98
P013,M005,70,5.16,361.2,0.0,252.88,7.56,79.75,77.39
P013,M006,67,6.11,409.37,0.0,259.11,7.62,83.54,76.52
P013,M007,72,6.54,470.88,0.0,248.51,7.69,88.41,74.46
P013,M008,72,5.56,400.32,0.0,261.77,7.68,81.24,75.0
P013,M009,75,5.82,436.5,0.0,260.06,7.74,83.41,76.51
P013,M010,59,5.49,323.91,0.0,260.43,7.24,75.93,73.79
P013,M011,54,6.05,326.7,0.0,257.3,7.82,86.0,77.55
P013,M012,65,6.13,398.45,0.0,257.64,7.58,83.47,77.75
P013,M013,54,6.5,351.0,0.0,254.98,7.55,85.21,77.43
P013,M014,63,5.92,372.96,0.0,256.9,7.59,82.7,75.51
P013,M015,65,5.99,389.35,0.0,259.17,7.49,81.37,77.0
P013,M016,63,6.07,382.41,0.0,255.22,7.64,84.38,79.82
P013,M017,77,6.12,471.24,0.0,252.17,7.49,83.38,77.94
P013,M018,62,6.79,420.98,0.0,254.06,7.91,91.06,74.96
P013,M019,66,5.16,340.56,0.0,256.07,7.7,80.79,77.58
P013,M020,64,6.05,387.2,0.0,257.07,7.69,84.52,79.37
P013,M021,76,5.65,429.4,0.0,257.32,7.59,81.4,76.09
P013,M022,72,6.77,487.44,0.0,257.95,7.62,86.76,76.01
P013,M023,73,6.25,456.25,0.0,260.9,7.7,84.82,81.29
P013,M024,51,5.92,301.92,0.0,253.4,7.39,81.01,73.96
P013,M025,69,6.24,430.56,0.0,259.14,7.61,83.92,78.14
